Feature,Normalized.Dispersion
ENSG00000065135,nan
ENSG00000159352,-1.2249836567708015
ENSG00000143322,nan
ENSG00000116918,nan
ENSG00000115355,-0.5847006201646936
ENSG00000254999,-0.7401464755177604
ENSG00000231160,nan
ENSG00000177738,nan
ENSG00000196262,-1.0
ENSG00000283886,nan
ENSG00000138185,nan
ENSG00000075239,nan
ENSG00000149311,nan
ENSG00000111639,nan
ENSG00000185950,nan
ENSG00000102978,nan
ENSG00000267100,nan
ENSG00000287271,nan
ENSG00000213799,-1.2334040967404496
ENSG00000204577,nan
ENSG00000280071,-0.9042287141043661
ENSG00000275464,-0.6970506436525511
ENSG00000280433,-0.5981259538124771
ENSG00000275993,0.2629773937042654
ENSG00000288187,nan
ENSG00000275895,-0.7699398336734309
ENSG00000280145,0.1813606795134626
ENSG00000280164,nan
ENSG00000280018,nan
ENSG00000273590,nan
ENSG00000278961,nan
ENSG00000276289,-2.7246115647231344
ENSG00000279579,nan
ENSG00000278932,4.772562478637191
ENSG00000274391,2.0310804950076977
ENSG00000224905,0.0
ENSG00000185272,2.171843217560851
ENSG00000155304,-0.22375651196890425
ENSG00000155307,1.0088911128682914
ENSG00000281903,nan
ENSG00000180530,0.0
ENSG00000229425,3.8321242298117935
ENSG00000155313,0.9949127024118231
ENSG00000215386,2.121284081476283
ENSG00000154640,0.11645132732841004
ENSG00000280594,1.339731782274858
ENSG00000240770,nan
ENSG00000154642,1.0
ENSG00000244676,-1.1651973409204366
ENSG00000154645,nan
ENSG00000237484,0.1837664697178133
ENSG00000234883,-0.6300035087235181
ENSG00000260583,nan
ENSG00000154719,-1.9122592875057698
ENSG00000154721,1.0
ENSG00000287109,nan
ENSG00000154723,-2.215850773647043
ENSG00000154727,0.01994209309244602
ENSG00000142192,3.526046700908058
ENSG00000233783,nan
ENSG00000166265,0.6313988318077118
ENSG00000154734,-0.15326218654844856
ENSG00000154736,1.0792574711988188
ENSG00000232079,nan
ENSG00000232855,-1.2875275079047106
ENSG00000156239,-0.18893416184403475
ENSG00000198862,1.4674571075016614
ENSG00000156253,-0.14442435946939003
ENSG00000273254,-0.4626023946885908
ENSG00000156256,2.4778762085493784
ENSG00000156261,-1.3893653531591008
ENSG00000231125,nan
ENSG00000286018,0.01901664961614036
ENSG00000156265,139.7859246935047
ENSG00000215533,-2.5013415813602418
ENSG00000156273,0.5990655759822263
ENSG00000248476,-0.5472090677550889
ENSG00000273017,1.9953006157179332
ENSG00000232118,nan
ENSG00000228817,-0.9231982724951163
ENSG00000273464,nan
ENSG00000156299,-0.8658300899174786
ENSG00000237594,nan
ENSG00000234509,4.638919515366403
ENSG00000142168,0.6299971771577638
ENSG00000273271,-0.8357452664213497
ENSG00000156304,0.2829929816236224
ENSG00000273091,nan
ENSG00000159055,-0.758740125475759
ENSG00000227256,nan
ENSG00000142207,0.0
ENSG00000256073,-0.6973358649707523
ENSG00000166979,1.900222847032591
ENSG00000242220,-0.12849037705515026
ENSG00000159079,-0.7566406323035385
ENSG00000159082,-1.773685967267845
ENSG00000238197,2.061720318589987
