Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000065135,GNAI3,0.0014109175829522234,1.078965027851913,0.7568060024606357,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000159352,PSMD4,0.002821835165904447,-0.9210349721480879,0.7568060024606357,0.015789473684210527,2.4094920528564616,0.42862275442396175,0.006035379812695109,1.1478615253522655,1.0,0.0,0.8600045257200417,1.0,0.008901166359729895,1.7626439022163956,1.0,0.0,1.2887742604263215,1.0,0.0,1.553292270573274,1.0,0.0,1.6933409216248307,1.0,0.0,4.979780291832361,1.0,0.0,6.585952647518019,1.0
ENSG00000143322,ABL2,0.0,-0.921034972148087,1.0,0.0,1.7314201477438234,1.0,0.006035379812695109,3.955216447409869,0.6153805402226081,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000116918,TSNAX,0.0014109175829522234,1.078965027851913,0.7568060024606357,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000115355,CCDC88A,0.0042327527488566705,1.078965027851913,0.6832841327310135,0.0,0.4094920528564616,1.0,0.006035379812695109,1.9552164474098692,0.9273380106363017,0.0,1.53807643083268,1.0,0.0,1.2480707293866384,1.0,0.0,1.9668461655389597,1.0,0.0,2.231364175685912,1.0,0.0,2.371412826737468,1.0,0.0,5.657852196944998,1.0,0.0,7.264024552630657,1.0
ENSG00000254999,BRK1,0.008465505497713341,0.8863199499095167,0.6696011364035945,0.015789473684210527,1.9240652256862196,0.6169866601667687,0.0,-0.3667116474774925,1.0,0.0,0.5380764308326791,1.0,0.0,0.24807072938663755,1.0,0.0,0.9668461655389589,1.0,0.0,1.2313641756859113,1.0,0.0,1.371412826737469,1.0,0.0,4.657852196944998,1.0,0.0,6.264024552630657,1.0
ENSG00000231160,KLF3-AS1,0.0,-0.921034972148087,1.0,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.0,2.569998824274,1.0,0.01427868045297883,5.2887742604263215,0.7038323113280058,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000177738,AC025171.1,0.0,-0.921034972148087,1.0,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.0,2.8600045257200417,1.0,0.008901166359729895,4.569998824274,0.5050980382390179,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
ENSG00000196262,PPIA,0.014109175829522235,0.21646855160184764,1.0,0.010526315789473684,0.14645764702266728,1.0,0.0,-1.3667116474774925,0.9253656110765414,0.0,-0.4619235691673209,1.0,0.026703499079189685,1.482535983023661,0.8224015099212966,0.0,-0.03315383446104114,1.0,0.0,0.23136417568591128,1.0,0.07503234152652004,3.0152690165121934,0.35431820747029513,0.0,3.657852196944998,1.0,0.0,5.264024552630657,1.0
ENSG00000283886,BX664615.2,0.0,-0.921034972148087,1.0,0.0,1.7314201477438234,1.0,0.0,1.9552164474098692,1.0,0.010748702742772422,4.860004525720042,0.8792546019436523,0.0,2.569998824274,1.0,0.0,3.2887742604263215,1.0,0.0,3.553292270573274,1.0,0.0,3.6933409216248316,1.0,0.0,6.97978029183236,1.0,0.0,8.585952647518019,1.0
