Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000065135,GNAI3,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000159352,PSMD4,0.002729411764705882,-1.015952843747547,0.5748592768548186,0.012741652021089631,2.1835594530112443,0.2725335889259953,0.0,-1.1047077586638228,0.7671735746595035,0.0,0.9887390388749804,1.0,0.05858585858585858,4.510437398260553,1.0
ENSG00000143322,ABL2,0.0,-1.015952843747547,0.6909119679096908,0.0031854130052724077,2.8616313581238817,0.6164831273853919,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000116918,TSNAX,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000115355,CCDC88A,0.004094117647058824,0.9840471562524531,0.7893398602148434,0.0,-0.46029673676348004,0.9852565331032264,0.003244573730140971,0.8952922413361781,1.0,0.0,1.6668109439876186,1.0,0.0,3.995864225430794,1.0
ENSG00000254999,BRK1,0.008188235294117647,0.7914020783100577,0.704300831413988,0.009556239015817224,1.054276436066278,0.8367373865759201,0.0,-1.4266358535511854,0.6449017886243301,0.0,0.6668109439876178,1.0,0.0,2.995864225430794,1.0
ENSG00000231160,KLF3-AS1,0.0,-1.015952843747547,0.6909119679096908,0.0031854130052724077,2.8616313581238817,0.6164831273853919,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000177738,AC025171.1,0.0,-1.015952843747547,0.6909119679096908,0.0,0.8616313581238817,1.0,0.003244573730140971,2.895292241336178,0.5601710947182696,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000196262,PPIA,0.013647058823529411,0.12155068000238778,1.0,0.0031854130052724077,-1.3862961553197035,0.6164831273853919,0.016222868650704853,0.5733641464488155,0.974536333377114,0.011698265429608713,0.7408115254313952,1.0,0.11717171717171716,3.7328298195970007,1.0
ENSG00000283886,BX664615.2,0.0,-1.015952843747547,0.6909119679096908,0.0,0.8616313581238817,1.0,0.003244573730140971,2.895292241336178,0.5601710947182696,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000138185,ENTPD1,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000075239,ACAT1,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000149311,ATM,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000111639,MRPL51,0.0,-1.015952843747547,0.6909119679096908,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.011698265429608713,4.98873903887498,0.5470168431925464,0.0,5.317792320318158,1.0
ENSG00000185950,IRS2,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000102978,POLR2C,0.001364705882352941,-0.015952843747546908,1.0,0.0,0.2766688574027256,1.0,0.003244573730140971,1.8952922413361781,0.7671735746595035,0.0,2.4037765381538243,1.0,0.0,4.7328298195970016,1.0
ENSG00000267100,ILF3-DT,0.002729411764705882,1.5690096569736092,0.6909119679096908,0.0,0.2766688574027256,1.0,0.0,0.31032974061502117,1.0,0.0,2.4037765381538243,1.0,0.0,4.7328298195970016,1.0
ENSG00000287271,AC011455.6,0.0,-1.015952843747547,0.6909119679096908,0.0,0.8616313581238817,1.0,0.003244573730140971,2.895292241336178,0.5601710947182696,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000213799,ZNF845,0.005458823529411764,-0.27898724958134036,0.8998552002770102,0.0063708260105448155,0.44659385884503866,1.0,0.009733721190422913,1.0879373192785744,0.8339202614248632,0.0,0.6668109439876178,1.0,0.0,2.995864225430794,1.0
ENSG00000204577,LILRB3,0.001364705882352941,0.9840471562524531,1.0,0.0,0.8616313581238817,1.0,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000280071,GATD3B,0.0859764705882353,-0.40827026652630716,0.6268426737618759,0.1274165202108963,0.477716376340819,0.7341058763206817,0.12004922801521592,0.36186004125510385,0.8141024624183332,0.07018959257765227,-0.3434573914662087,1.0,0.0,-0.8818800245182072,1.0
ENSG00000275464,FP565260.1,0.009552941176470587,-1.015952843747547,0.37505741429896033,0.03503954305799649,1.8616313581238826,0.0963603623578649,0.006489147460281942,-0.9120626807214256,0.7671735746595035,0.023396530859217425,1.1813841168173767,1.0,0.0,1.7942303642611437,1.0
ENSG00000280433,FP565260.6,0.019105882352941174,-0.3569897615826134,0.7311031825158218,0.02866871704745167,0.5985969522900891,0.7935095413366263,0.022712016110986794,0.1948525231950855,1.0,0.023396530859217425,0.6195052292092615,1.0,0.0,1.2733982009597034,1.0
ENSG00000275993,SIK1B,0.006823529411764706,2.569009656973609,0.21521708829754135,0.0,-0.7233311425972735,0.9852565331032264,0.0,-0.6896702593849788,0.9656565698234251,0.0,1.4037765381538243,1.0,0.0,3.7328298195970007,1.0
ENSG00000288187,CU633906.5,0.0,-1.015952843747547,0.6909119679096908,0.0,0.8616313581238817,1.0,0.003244573730140971,2.895292241336178,0.5601710947182696,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000275895,U2AF1L5,0.05185882352941176,0.2250552557562484,0.8129762303796734,0.031854130052724076,-0.6096743608017068,0.8176529458382608,0.05840232714253747,0.4152993002165646,0.8669220019823207,0.035094796288826134,-0.09872380237535872,1.0,0.05858585858585858,1.1885093033731904,1.0
ENSG00000280145,CU638689.4,0.0,-2.015952843747547,0.3671021052097294,0.009556239015817224,3.8616313581238817,0.1275766248837293,0.0,-0.10470775866382276,1.0,0.0,1.9887390388749804,1.0,0.0,4.317792320318158,1.0
ENSG00000280164,CU638689.5,0.0,-1.015952843747547,0.6909119679096908,0.0031854130052724077,2.8616313581238817,0.6164831273853919,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000280018,CU634019.5,0.0,-1.015952843747547,0.6909119679096908,0.0031854130052724077,2.8616313581238817,0.6164831273853919,0.0,0.8952922413361772,1.0,0.0,2.9887390388749804,1.0,0.0,5.317792320318158,1.0
ENSG00000273590,SMIM11B,0.002729411764705882,1.5690096569736092,0.6909119679096908,0.0,0.2766688574027256,1.0,0.0,0.31032974061502117,1.0,0.0,2.4037765381538243,1.0,0.0,4.7328298195970016,1.0
ENSG00000278961,SMIM34B,0.002729411764705882,1.5690096569736092,0.6909119679096908,0.0,0.2766688574027256,1.0,0.0,0.31032974061502117,1.0,0.0,2.4037765381538243,1.0,0.0,4.7328298195970016,1.0
ENSG00000276289,KCNE1B,0.004094117647058824,1.984047156252453,0.5238190659218732,0.0,-0.1383686418761183,1.0,0.0,-0.10470775866382276,1.0,0.0,1.9887390388749804,1.0,0.0,4.317792320318158,1.0
ENSG00000279579,LINC01666,0.0,-1.600915344468703,0.5291256745558887,0.0,0.2766688574027256,1.0,0.003244573730140971,1.8952922413361781,0.7671735746595035,0.011698265429608713,3.9887390388749804,0.6467409798141899,0.0,4.7328298195970016,1.0
ENSG00000278932,CR381653.1,0.005458823529411764,-1.1534563674974816,0.5128989927894505,0.0063708260105448155,-0.25384585929605397,1.0,0.012978294920563883,0.7577887175862426,0.8483267865353843,0.04679306171843485,2.851235515125045,0.5101347501217547,0.0,2.410901724709639,1.0
ENSG00000274391,TPTE,0.001364705882352941,-0.600915344468703,0.7893398602148434,0.0,-0.1383686418761183,1.0,0.0,-0.10470775866382276,1.0,0.0,1.9887390388749804,1.0,0.11717171717171716,6.902754821039314,0.07198960610025944
ENSG00000224905,AP001347.1,0.0,-2.3378809386349095,0.2237156223052541,0.0,-0.46029673676348004,1.0,0.006489147460281942,1.8952922413361781,0.5601710947182696,0.023396530859217425,3.9887390388749804,0.3928273829253816,0.0,3.995864225430794,1.0
