Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000065135,GNAI3,0.0013820712004956393,1.0204524979165495,0.7654836174526765,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000159352,PSMD4,0.0027641424009912786,-0.9795475020834523,0.7654836174526765,0.004301394245031148,0.585175554703806,1.0,0.012241452089489235,1.9799679018961545,0.4957492410673069,0.006731662024141132,1.3233815101754498,1.0,0.0,0.8192302290157158,1.0,0.0,4.747781961930855,1.0,0.0,4.6002212384918,1.0
ENSG00000143322,ABL2,0.0,-0.9795475020834505,1.0,0.004301394245031148,3.392530476761409,0.5335647410685088,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000116918,TSNAX,0.0013820712004956393,1.0204524979165495,0.7654836174526765,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000115355,CCDC88A,0.004146213601486918,1.0204524979165486,0.7049898507539303,0.0,0.0706023818740471,1.0,0.0,-0.02003209810384554,1.0,0.0,0.8088083373456909,1.0,0.0,1.4973021341283532,1.0,0.0,5.425853867043491,1.0,0.15425531914893617,6.6002212384918,0.8987329585499261
ENSG00000254999,BRK1,0.008292427202973835,0.8278074199741514,0.6941697361356907,0.0,-0.9293976181259529,0.8555492312340823,0.012241452089489235,1.4945410747259134,0.6223722325662377,0.0,-0.1911916626543082,1.0,0.0,0.4973021341283541,1.0,0.0,4.425853867043493,1.0,0.0,4.2782931436044365,1.0
ENSG00000231160,KLF3-AS1,0.0,-0.9795475020834505,1.0,0.004301394245031148,3.392530476761409,0.5335647410685088,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000177738,AC025171.1,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.006731662024141132,4.130736432233054,0.5152228380380514,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000196262,PPIA,0.013820712004956394,0.15795602166648326,1.0,0.0,-1.929397618125953,0.5335647410685088,0.004080484029829745,-0.9460315166600681,0.9441966375509699,0.04712163416898792,2.430296714091962,0.1232189362067403,0.0,-0.5026978658716459,1.0,0.17365269461077842,4.49985444848727,1.0,0.0,3.278293143604437,1.0
ENSG00000283886,BX664615.2,0.0,-0.9795475020834505,1.0,0.004301394245031148,3.392530476761409,0.5335647410685088,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
